idarea,nome,descricao,iddepto,status,created_at,updated_at,lider1,lider2
00b78d47-1024-4a62-a3ae-5dcad20579f4,Auxiliar do Líder,,2d5b5e5f,Inativo,2025-09-18 13:21:56.765667+00,2025-10-16 15:13:08.901307+00,,
0dd6be0f-9cc5-4398-bcb2-daa144416ce0,Capelão(ã),,d6401355-4f66-4b85-b0a2-b2b3e5381ead,Ativo,2025-10-16 21:28:01.124466+00,2025-10-16 21:28:01.124466+00,,
181ca79c-fdf4-41ba-bae2-0d1d45859f6c,Voluntário,,e175ef41,Ativo,2025-09-18 13:13:50.02344+00,2025-10-17 14:03:45.204098+00,,
2a522293-e98f-453b-9632-550fc1d37d27,Capelão(ã),,824861de,Ativo,2025-10-16 15:39:29.618652+00,2025-10-16 15:39:29.618652+00,,
36db8461-8d68-462f-9160-238a92387a67,Capelão(ã),,8278f370-e170-4a1d-8f9c-0f32521b8190,Ativo,2025-10-16 15:24:32.944665+00,2025-10-16 15:25:03.236895+00,,
3b9c8049-19c5-4d19-9a81-2ad8b9ae8c59,Auxiliar,Auxiliar o professor,05c5c55d,Ativo,2025-09-05 13:06:44.933986+00,2025-09-05 13:06:44.933986+00,,
42cc07cf-8eb6-46b5-bbf2-0daa6c35a3f1,Auxiliar,,cafb25b8,Ativo,2025-09-17 18:35:11.724395+00,2025-09-17 18:35:11.724395+00,,
4599c10b-2265-48c7-955f-30a0ecb5d929,Auxiliar,,6444ed94,Ativo,2025-09-18 13:17:41.347152+00,2025-09-18 13:17:41.347152+00,,
4ebd3162,Ensaios e Treinamento,Área responsável pelos ensaios e treinamento dos músicos,33b4a9a3,Ativo,2025-08-18 11:43:58.266084+00,2025-08-18 11:43:58.266084+00,,
53727082-1e64-485e-a71e-1ffda24c8169,Equipe de Apoio,,8278f370-e170-4a1d-8f9c-0f32521b8190,Ativo,2025-10-16 15:06:23.386056+00,2025-10-16 15:06:23.386056+00,,
5aee6443,Louvor Domingo Noite,Ministério de louvor do culto de domingo noite,33b4a9a3,Ativo,2025-08-18 11:43:58.266084+00,2025-08-18 11:43:58.266084+00,,
6820d950-b42d-440f-bdb6-8d6022edfb9c,Voluntário,,824861de,Ativo,2025-10-16 15:39:10.069066+00,2025-10-16 15:39:10.069066+00,,
80ae9c10-e8d7-4aae-bb78-9137bbcfb177,Auxiliar,,11b5578a,Ativo,2025-09-17 18:42:21.984465+00,2025-09-17 18:42:21.984465+00,,
8a98fb41-2848-452b-98fa-f931c52a9a67,Auxiliar,,114da0e3,Ativo,2025-09-17 18:45:43.422522+00,2025-09-17 18:45:43.422522+00,,
8cd75c79-0216-40c4-8917-ceb7704ce952,Auxiliar,,ad72a13c,Ativo,2025-09-18 13:13:34.777583+00,2025-09-18 13:13:34.777583+00,,
8f93e101-9ef0-42b4-bf56-673c6e53fe7c,Auxiliar,,e910cfb7,Ativo,2025-09-18 13:20:41.589967+00,2025-09-18 13:20:41.589967+00,,
9ae48292-1fc4-4b29-aa6d-03ad77672308,Professor(a),Líderes que ministram as crianças,05c5c55d,Ativo,2025-08-24 16:08:21.710552+00,2025-09-05 15:32:13.799428+00,,
9bf6bab9-be42-4b8c-bb2c-d746db073a62,Auxiliar do Líder,,f5a571ce,Ativo,2025-10-16 14:50:47.904927+00,2025-10-16 15:04:30.88275+00,,
9db56e5a-ec9e-4ff2-b628-819f50bfe31f,Equipe de Apoio,,2d5b5e5f,Ativo,2025-10-16 15:13:04.416428+00,2025-10-16 15:13:04.416428+00,,
a5b3cc73-a3d4-4964-8368-5d84a6245e40,Auxiliar do Líder,,9478433e,Ativo,2025-09-17 18:42:07.987618+00,2025-10-16 15:05:29.745298+00,,
af7dc096-655b-4c8d-a312-56eb3a0aecc7,Dançarina,,f5a571ce,Ativo,2025-10-16 14:50:24.556889+00,2025-10-16 14:50:24.556889+00,,
b40d03b2-1d93-4f94-9bc6-3457090bef9d,Equipe de Apoio,,e175ef41,Ativo,2025-10-17 14:03:25.611809+00,2025-10-17 14:03:25.611809+00,,
b7346492,Louvor Domingo Manhã,Ministério de louvor do culto de domingo manhã,33b4a9a3,Inativo,2025-08-18 11:43:58.266084+00,2025-08-18 18:39:01.927213+00,,
b8752c13-8f6e-43a3-b2d0-be9dcd70e8a8,Líder Direto,Líder do Departamento,05c5c55d,Ativo,2025-09-05 20:50:25.168005+00,2025-09-05 20:50:25.168005+00,,
be4c9803-9a29-4ab5-b19a-5dde2ba3ada2,Auxiliar,,e91c4307,Ativo,2025-09-17 18:42:33.787703+00,2025-09-17 18:42:33.787703+00,,
c74fb8b0-e69b-438f-85b6-b2f314847559,Voluntário,,cafb25b8,Ativo,2025-09-18 12:23:15.983421+00,2025-09-18 12:23:15.983421+00,,
d5101f4f-3ae0-4ba0-bf1a-0849f099b108,Auxiliar do Líder,,8278f370-e170-4a1d-8f9c-0f32521b8190,Ativo,2025-10-16 15:05:59.402869+00,2025-10-16 15:05:59.402869+00,,
e33eb9a2-88b9-40bc-9c06-f1bcbaf52140,Equipe de Apoio,,824861de,Ativo,2025-10-16 15:38:52.188761+00,2025-10-16 15:38:52.188761+00,,
e4ea638a-9fa4-4032-9aaf-eb9e2d4a696e,Voluntário,,8278f370-e170-4a1d-8f9c-0f32521b8190,Ativo,2025-10-16 15:23:52.509108+00,2025-10-16 15:23:52.509108+00,,
f31b07e6-6757-42b1-bcff-bf94bd90ace1,Auxiliar,,375972a2,Ativo,2025-09-18 13:19:25.410849+00,2025-09-18 13:19:25.410849+00,,