idfrase,ordem,texto
01890485-2713-4bd8-892d-46793b1bca27,45,Estou disposto a assumir a responsabilidade por um grupo de irmãos.
094399eb-fd51-4d10-898e-e14f2b68cf38,30,"Sou diligente em meu estudo da Bíblia e dispenso cuidadosa atenção  à  necessária pesquisa, não apenas para mostrar sabedoria, mas porque eu gosto."
0a7fd7e3-6c2f-4280-917b-5462f48f81c0,36,"É fácil,  para mim,  acompanhar pessoalmente um grupo de cristãos e me empenhar pela sua unidade."
0aa77e93-326e-4e35-83e6-22d58a2419fd,33,Procuro estar ciente dos recursos disponíveis para a execução das tarefas que tenho que realizar.
0d9b19d1-ce7e-4cf3-b80d-7cf421600bed,39,Posso explicar bem como a Bíblia mantém sua unidade.
144b8f8d-0b72-438b-821a-795837ef8fad,34,Sinto-me feliz quando consigo atingir pessoas geralmente esquecidas pelos outros.
1f5af8d7-4476-4eb1-9016-e83356fa6374,5,"Administro meu dinheiro, mesmo quando pouco, de modo a separar uma quantia generosa para o trabalho de Deus."
2386cd85-1f80-40bf-a440-ba5ef2dfa19d,40,Sou agudamente consciente das coisas que impedem as pessoas em seu desenvolvimento espiritual e anseio por ajudá-las a vencer seus problemas.
24e269be-4049-45df-811f-67666cb986bc,16,Gosto de visitar pessoas hospitalizadas ou que não podem sair de casa.
2835ed85-fa74-4950-8c8b-d648467630fc,35,Para mim é fácil perceber quando uma pessoa está aberta a aceitar o evangelho.
341fb2d9-1e39-474b-84e7-b7343aa24a34,17,Já tive experiências de levar outros à fé em Jesus.
3e58e2ea-edee-4354-bb2e-f90461d874d1,19,Posso apresentar a Palavra de Deus a uma congregação de pessoas com clareza a ponto de serem trazidas à luz verdades escondidas.
3f83db3f-2748-4bae-bc85-5013a12d746e,44,Estou disposto a frequentar um curso preparatório para o evangelismo.
4139d57c-5d98-4dec-8914-7757f7986bfb,29,Sinto-me bem quando proporciono um agradável acolhimento aos hóspedes.
42e8ae36-89aa-4e84-983e-571a0b695af8,13,Sempre estou interessado e procuro ajudar o crescimento espiritual das pessoas e levá-las a serem ativas na obra de Deus.
54d9123c-365e-4a9a-b7c5-041e2041b8e8,14,"Alegro-me em dar recursos materiais, de sorte que a obra do Senhor possa ser promovida."
5867e180-9785-471c-b188-066523c7a9c6,43,Posso relacionar-me com  outras pessoas emocionalmente e me disponho a ajudá-las quando for necessário.
592ac40b-4132-4f51-950c-5fd4350e9b53,1,Gosto de apresentar a verdade de Deus numa forma interessante e entusiasta.
698822fe-9bd3-4503-a133-b8add18dd732,3,Tenho facilidade para explorar a verdade de um texto dentro do seu contexto.
714f4085-2ccf-4a1a-997c-f0a789c3eb37,22,Sinto-me feliz por poder tratar as pessoas feridas espiritualmente.
77db9dcd-41c7-4a1b-8ae8-728b5be5a095,32,Preocupo-me em saber que o trabalho de assistência social está sendo suprido de recursos.
7efb264a-25dd-460a-bfae-c8a6f87ba9f7,37,Verifico que minha pregação leve pessoas a um ponto de decisão definido.
84efadb3-4340-49c8-9e01-2059873e207c,38,"Gosto de aliviar a carga das pessoas que ocupam uma posição-chave, de sorte que possam esforçar-se mais em tarefas a elas concernentes."
870cd564-9c4a-4843-8b1c-3bfd113e25bf,15,Sou eficiente em supervisionar as atividades dos outros.
88553634-9f30-47d7-84d9-769324235e09,2,Estou sempre pronto para colocar em posição secundária meu conforto pessoal a fim de que as necessidades alheias sejam satisfeitas.
8a823e38-d132-4185-9042-19a479ba2f9e,18,Tenho experiência de levar cristãos a permanecerem firmes na fé devido ao meu acompanhamento.
8cfdf231-27c6-4a5e-81c9-18636b887cfc,8,Acho fácil falar de Jesus para não crentes.
8efd5c46-e757-40a2-b186-3cb6ecdfc633,7,Sou muito sensível às necessidades dos outros.
930f9c6f-7896-46e1-86ed-b6b11296dfb8,12,"Sinto grande impulso para descobrir conceitos bíblicos e repassá-los a outros. "
a580b045-2783-4cfa-bab6-08d23c757a90,23,Não tenho nenhum problema em confiar os meus recursos a outros para a obra do ministério.
a91f762d-7198-4e0e-8eca-a63854433339,26,Considero um grande problema o fato de muitos cristãos não falarem aos outros da sua fé em Jesus.
a9a24579-904f-40be-9347-f7309ca2a897,28,"Esforço-me grandemente para obter resultados, sempre que apresento as verdades da Palavra de Deus."
ae0ac19b-f46f-4c13-aa96-36a540ed9c82,42,Tenho objetivos bem definidos e consigo levar outros a assumirem meus objetivos.
b5e14fff-36ab-44b7-afed-cd4656c51ea1,9,Gosto de acompanhar cristãos para ajudá-los no seu crescimento espiritual.
beca0a12-87a2-4318-9833-6ab40fc426f2,41,Sou cuidadoso com a questão de dinheiro e oro continuamente  acerca de sua distribuição adequada na obra do Senhor.
c07df549-3624-4f55-9927-eb212ddd5673,27,Preocupo-me com o fato de que muitos cristãos não receberem um acompanhamento na sua vida pessoal e espiritual.
c19533e3-94a3-45ef-9b38-d6d9dc48a30c,6,Acho fácil delegar responsabilidades e preparar outras pessoas para realizações no campo espiritual.
cd0c0159-1217-48be-a34d-59ccda5ce1a5,31,Julgo poder ajudar os que têm necessidades de aconselhamento sobre problemas pessoais.
d9425451-5897-4baa-9880-d3f707eff195,25,Tenho grande interesse pelos que se acham envolvidos em dificuldades.
db72a39d-1e47-4708-a265-3f54a824368f,21,"Sou muito interessado em apresentar conceitos bíblicos de modo bem claro, dando especial atenção a definição de palavras importantes no texto."
db834a42-95f1-422b-8ee4-54adc1aacff8,11,Consigo levar pessoas a se sentirem à vontade na minha presença.
e08509d5-ab33-4515-8859-c1e5c80195ee,4,Procuro incentivar individualmente os que vacilam e tem problemas espirituais.
f480c751-70e7-43c1-a2be-5e41392a08ec,24,"Posso planejar as ações de outras pessoas, com calma, e dar-lhes os detalhes que as capacitem a trabalhar com eficiência."
f6ad0303-a064-4aad-a73e-b17451e86f66,20,Sinto-me feliz quando solicitado a dar assistência a outros na obra do Senhor sem necessariamente ser indicado para um posto de liderança.
fc2aa68d-6d5e-4cfc-84f2-49e9aef8691b,10,"Quando tento persuadir pessoas a respeito de suas reais motivações, faço -o de modo muito convincente."