idavaliacao,iddom,pontuacao
09cff44c-3504-4b45-ba40-274518076856,dom_contribuicao,7
09cff44c-3504-4b45-ba40-274518076856,dom_ensino,6
09cff44c-3504-4b45-ba40-274518076856,dom_evangelista,6
09cff44c-3504-4b45-ba40-274518076856,dom_exortacao,7
09cff44c-3504-4b45-ba40-274518076856,dom_governo,8
09cff44c-3504-4b45-ba40-274518076856,dom_misericordia,8
09cff44c-3504-4b45-ba40-274518076856,dom_pastor,7
09cff44c-3504-4b45-ba40-274518076856,dom_profecia,7
09cff44c-3504-4b45-ba40-274518076856,dom_servico,11
0cb43705-d77b-443a-8189-a73bee789252,dom_contribuicao,8
0cb43705-d77b-443a-8189-a73bee789252,dom_ensino,5
0cb43705-d77b-443a-8189-a73bee789252,dom_evangelista,10
0cb43705-d77b-443a-8189-a73bee789252,dom_exortacao,4
0cb43705-d77b-443a-8189-a73bee789252,dom_governo,10
0cb43705-d77b-443a-8189-a73bee789252,dom_misericordia,10
0cb43705-d77b-443a-8189-a73bee789252,dom_pastor,3
0cb43705-d77b-443a-8189-a73bee789252,dom_profecia,7
0cb43705-d77b-443a-8189-a73bee789252,dom_servico,14
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_contribuicao,7
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_ensino,5
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_evangelista,6
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_exortacao,10
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_governo,9
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_misericordia,6
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_pastor,9
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_profecia,8
0e46f613-b055-4ee3-a27b-3f88f5cce3e0,dom_servico,8
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_contribuicao,5
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_ensino,8
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_evangelista,8
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_exortacao,4
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_governo,9
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_misericordia,9
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_pastor,6
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_profecia,7
13f6d0d5-dba9-4a98-85c2-a53ec3efe53e,dom_servico,13
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_contribuicao,10
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_ensino,3
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_evangelista,10
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_exortacao,9
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_governo,13
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_misericordia,10
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_pastor,1
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_profecia,7
1e6c4ff0-178b-42e7-bdc0-387148374aa6,dom_servico,11
1e9bf096-561f-4f60-af81-085993f41c39,dom_contribuicao,13
1e9bf096-561f-4f60-af81-085993f41c39,dom_ensino,5
1e9bf096-561f-4f60-af81-085993f41c39,dom_evangelista,13
1e9bf096-561f-4f60-af81-085993f41c39,dom_exortacao,8
1e9bf096-561f-4f60-af81-085993f41c39,dom_governo,13
1e9bf096-561f-4f60-af81-085993f41c39,dom_misericordia,10
1e9bf096-561f-4f60-af81-085993f41c39,dom_pastor,11
1e9bf096-561f-4f60-af81-085993f41c39,dom_profecia,8
1e9bf096-561f-4f60-af81-085993f41c39,dom_servico,9
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_contribuicao,11
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_ensino,12
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_evangelista,6
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_exortacao,7
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_governo,12
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_misericordia,11
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_pastor,3
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_profecia,4
1fb25380-65c7-4430-97bb-7da1c54d2fbc,dom_servico,13
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_contribuicao,10
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_ensino,6
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_evangelista,8
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_exortacao,9
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_governo,6
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_misericordia,11
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_pastor,5
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_profecia,3
2083e31a-c6c3-47f6-bff9-44d875487c3e,dom_servico,11
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_contribuicao,12
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_ensino,10
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_evangelista,12
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_exortacao,12
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_governo,9
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_misericordia,15
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_pastor,12
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_profecia,13
27b2380c-9af9-47a7-bfbc-f912e559f826,dom_servico,15
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_contribuicao,8
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_ensino,7
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_evangelista,11
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_exortacao,10
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_governo,7
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_misericordia,9
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_pastor,9
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_profecia,7
39a8f292-4620-4b7e-a952-fe733cfbe104,dom_servico,13
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_contribuicao,10
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_ensino,5
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_evangelista,5
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_exortacao,3
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_governo,6
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_misericordia,5
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_pastor,7
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_profecia,4
41c2c3d9-0b7a-464c-9d25-c920ae84d33f,dom_servico,7
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_contribuicao,8
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_ensino,9
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_evangelista,12
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_exortacao,9
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_governo,5
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_misericordia,9
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_pastor,10
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_profecia,7
428b55c5-cd66-43d8-8e2b-fe37e4d94544,dom_servico,10
4300f9d9-993b-4063-b49d-b51cd9720401,dom_contribuicao,3
4300f9d9-993b-4063-b49d-b51cd9720401,dom_ensino,9
4300f9d9-993b-4063-b49d-b51cd9720401,dom_evangelista,7
4300f9d9-993b-4063-b49d-b51cd9720401,dom_exortacao,8
4300f9d9-993b-4063-b49d-b51cd9720401,dom_governo,7
4300f9d9-993b-4063-b49d-b51cd9720401,dom_misericordia,8
4300f9d9-993b-4063-b49d-b51cd9720401,dom_pastor,6
4300f9d9-993b-4063-b49d-b51cd9720401,dom_profecia,7
4300f9d9-993b-4063-b49d-b51cd9720401,dom_servico,11
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_contribuicao,9
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_ensino,1
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_evangelista,4
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_exortacao,5
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_governo,3
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_misericordia,8
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_pastor,11
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_profecia,3
4d450a19-4402-48f2-823a-268ffa3d83e9,dom_servico,7
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_contribuicao,13
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_ensino,11
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_evangelista,13
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_exortacao,12
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_governo,14
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_misericordia,10
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_pastor,12
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_profecia,12
4db40e91-4696-4a0f-b1e9-dba9ac6ff9ea,dom_servico,13
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_contribuicao,8
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_ensino,8
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_evangelista,11
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_exortacao,10
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_governo,6
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_misericordia,5
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_pastor,5
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_profecia,7
685139f5-09bc-4e4b-b69e-df5309e5be57,dom_servico,7
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_contribuicao,13
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_ensino,12
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_evangelista,9
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_exortacao,12
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_governo,14
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_misericordia,9
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_pastor,8
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_profecia,13
75f1e308-a6d6-42e8-ab80-778d0e766d6c,dom_servico,11
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_contribuicao,12
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_ensino,14
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_evangelista,12
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_exortacao,13
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_governo,11
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_misericordia,10
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_pastor,12
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_profecia,13
76de2f8e-8ec1-46d6-9081-2ba06d758a79,dom_servico,11
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_contribuicao,11
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_ensino,11
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_evangelista,12
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_exortacao,12
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_governo,13
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_misericordia,14
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_pastor,11
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_profecia,11
83d0bcd4-a28a-428f-8285-cdbf58ed07e3,dom_servico,13
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_contribuicao,8
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_ensino,5
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_evangelista,6
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_exortacao,5
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_governo,10
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_misericordia,5
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_pastor,6
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_profecia,7
9666b26c-7b3f-4a7b-8492-16415fc046a4,dom_servico,11
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_contribuicao,10
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_ensino,6
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_evangelista,5
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_exortacao,6
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_governo,13
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_misericordia,7
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_pastor,7
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_profecia,10
9c9997c2-6ed0-4c4d-b99e-389493db353a,dom_servico,7
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_contribuicao,13
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_ensino,6
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_evangelista,8
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_exortacao,7
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_governo,7
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_misericordia,7
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_pastor,7
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_profecia,7
9e48ad3a-d995-4a49-a362-66842a75c7f0,dom_servico,10
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_contribuicao,5
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_ensino,5
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_evangelista,9
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_exortacao,4
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_governo,1
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_misericordia,8
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_pastor,2
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_profecia,9
a47aa96e-b098-4f15-9fd2-72cbc395b7d1,dom_servico,7
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_contribuicao,11
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_ensino,12
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_evangelista,12
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_exortacao,11
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_governo,14
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_misericordia,8
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_pastor,10
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_profecia,15
a74bb70e-4eeb-40aa-9fbe-5ee3480099a6,dom_servico,8
ae89c992-2910-42f3-9271-5fc8d950566b,dom_contribuicao,10
ae89c992-2910-42f3-9271-5fc8d950566b,dom_ensino,11
ae89c992-2910-42f3-9271-5fc8d950566b,dom_evangelista,11
ae89c992-2910-42f3-9271-5fc8d950566b,dom_exortacao,7
ae89c992-2910-42f3-9271-5fc8d950566b,dom_governo,9
ae89c992-2910-42f3-9271-5fc8d950566b,dom_misericordia,9
ae89c992-2910-42f3-9271-5fc8d950566b,dom_pastor,10
ae89c992-2910-42f3-9271-5fc8d950566b,dom_profecia,9
ae89c992-2910-42f3-9271-5fc8d950566b,dom_servico,10
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_contribuicao,11
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_ensino,8
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_evangelista,12
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_exortacao,12
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_governo,8
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_misericordia,15
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_pastor,11
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_profecia,11
b34ac830-96a3-4760-8bf3-1ed9dd92e126,dom_servico,12
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_contribuicao,8
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_ensino,14
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_evangelista,12
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_exortacao,10
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_governo,11
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_misericordia,11
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_pastor,12
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_profecia,11
bab1d182-bf09-4abf-9d10-2310f48128b4,dom_servico,12
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_contribuicao,7
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_ensino,6
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_evangelista,10
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_exortacao,7
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_governo,8
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_misericordia,10
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_pastor,8
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_profecia,8
c9d7bd60-f6e5-4131-b2bc-e9e6a83feae1,dom_servico,10
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_contribuicao,15
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_ensino,12
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_evangelista,9
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_exortacao,6
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_governo,8
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_misericordia,12
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_pastor,10
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_profecia,9
d21cfd87-b9ff-4cd1-a8a9-1b9e384c1738,dom_servico,11
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_contribuicao,5
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_ensino,3
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_evangelista,10
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_exortacao,3
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_governo,5
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_misericordia,5
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_pastor,8
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_profecia,4
d2f01b05-0e9f-4545-b53f-c35012181e57,dom_servico,8
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_contribuicao,12
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_ensino,13
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_evangelista,13
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_exortacao,15
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_governo,14
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_misericordia,15
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_pastor,12
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_profecia,8
dbfadacb-75fb-4a8f-a62d-3107c592e9b9,dom_servico,14
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_contribuicao,10
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_ensino,8
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_evangelista,14
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_exortacao,8
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_governo,9
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_misericordia,12
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_pastor,8
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_profecia,11
dfad95b4-805d-417e-9df4-b7b7f91730cc,dom_servico,11
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_contribuicao,10
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_ensino,6
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_evangelista,12
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_exortacao,10
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_governo,8
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_misericordia,14
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_pastor,10
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_profecia,8
e1f65f22-1344-4387-88b8-ebd86c1e82d5,dom_servico,13
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_contribuicao,6
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_ensino,8
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_evangelista,13
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_exortacao,11
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_governo,8
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_misericordia,13
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_pastor,11
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_profecia,9
edcce03b-9ead-4dd8-9da6-8c5777487d32,dom_servico,11
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_contribuicao,11
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_ensino,9
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_evangelista,10
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_exortacao,12
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_governo,10
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_misericordia,11
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_pastor,11
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_profecia,13
ede6848f-94e9-492d-9f9c-c8c0f1705f48,dom_servico,13
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_contribuicao,10
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_ensino,10
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_evangelista,13
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_exortacao,12
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_governo,11
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_misericordia,9
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_pastor,12
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_profecia,9
eeef57f1-e5d3-46af-8f2b-42d2f6f71f1f,dom_servico,10
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_contribuicao,11
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_ensino,4
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_evangelista,11
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_exortacao,13
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_governo,11
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_misericordia,14
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_pastor,11
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_profecia,6
f74ff514-5ede-4bf7-a50d-5d634ecb598c,dom_servico,15
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_contribuicao,10
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_ensino,6
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_evangelista,9
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_exortacao,10
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_governo,7
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_misericordia,9
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_pastor,10
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_profecia,7
f9f1479e-d995-4a90-8eff-f2e9b71c6da6,dom_servico,10
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_contribuicao,15
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_ensino,12
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_evangelista,15
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_exortacao,15
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_governo,15
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_misericordia,15
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_pastor,14
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_profecia,14
fbefabd4-3ba5-41e9-bf9f-7203e1f3bfe2,dom_servico,15