id,slot_id,idlider,confirmado,presente,observacoes,created_by,created_at,updated_at
2b64f29c-feb5-4a53-ad06-256e96262610,4e088af7-3315-4f42-b934-fbebf6536594,5136a184,false,,,,2025-10-14 18:26:20.60409+00,2025-10-14 18:26:20.60409+00
2da758c8-cf4e-4255-a5f2-29416502f420,5e535299-6d95-4d5b-8b91-7a8406d2bf47,46b54530,false,,,,2025-10-14 18:20:48.055856+00,2025-10-14 18:20:48.055856+00
3c5cba59-1046-47de-af75-02787f7eaf98,4a050615-ac5e-4c01-80ff-a6eefabfe437,LID000024,false,,,,2025-10-14 18:26:20.791289+00,2025-10-14 18:26:20.791289+00
5bace51e-37fb-49e3-8864-b78d90816fae,830f6ba0-80d9-49a0-98d3-e7a31b3e6820,LID000023,false,,,,2025-10-14 18:20:48.249751+00,2025-10-14 18:20:48.249751+00
7a25d2da-b78c-4425-b31a-aadb2bf4c360,43c2eeb5-8475-49fd-8b48-c21fb2df77dd,8b17bcfd,false,,,,2025-10-14 19:07:26.07228+00,2025-10-14 19:07:26.07228+00
7aec8af2-094d-4871-a3d3-b5d356e22642,093cfb2f-81ed-464b-a623-a38d948e0c66,9ec42790,false,,,,2025-10-14 19:07:26.210999+00,2025-10-14 19:07:26.210999+00
a2e7897c-b5ea-44e0-8524-454dad23aa98,76366869-f43c-4b87-89f9-e87657d1ee30,LID000024,false,,,,2025-10-14 19:07:26.355522+00,2025-10-14 19:07:26.355522+00
c649f954-fde5-469c-90ea-06b70963f087,bce23a54-e48d-40d4-8fe1-a67df870a996,9ec42790,false,,,,2025-10-14 18:25:08.258625+00,2025-10-14 18:25:08.258625+00
e3884b62-0503-4d02-bfbb-c9f500f9e5a4,cf711553-459f-419e-a47b-62cf17b2635d,ee0b8af6,false,,,,2025-10-14 18:25:08.007456+00,2025-10-14 18:25:08.007456+00
f93db940-4145-4c0a-b8c3-5b29a7aada5a,0b95478b-3baf-43a7-b68a-a6c9a8505ada,e2a94a55,false,,,,2025-10-14 18:26:20.405929+00,2025-10-14 18:26:20.405929+00